target,cpus,payload,conns,rps,transfer_per_s,lat_mean_us,p50_us,p90_us,p99_us,p999_us,max_us,sock_errors,non2xx,proxy_cpu_pct,proxy_rss_mb,wedged
direct,-,/,16,49785.06,9.02MB,510,319,415,2892,38700,46923,0,0,-,-,0
direct,-,/,16,51486.73,9.33MB,320,312,389,669,3517,5866,0,0,-,-,0
direct,-,/,64,56806.25,10.29MB,1119,1144,1394,2082,4344,6010,0,0,-,-,0
direct,-,/,64,66502.29,12.05MB,977,975,1193,2157,6927,9615,0,0,-,-,0
direct,-,/,256,64909.71,11.76MB,3930,3859,4527,6748,7834,9068,0,0,-,-,0
direct,-,/,256,66453.14,12.04MB,3867,3805,4598,6577,20936,29378,0,0,-,-,0
direct,-,/,1024,61807.83,11.20MB,16505,15789,19051,31175,74085,94686,0,0,-,-,0
direct,-,/,1024,55787.79,10.11MB,18183,16831,24836,29194,37785,50219,0,0,-,-,0
direct,-,/4k.bin,64,32169.45,133.76MB,1985,1993,2268,2900,3643,4368,0,0,-,-,0
direct,-,/4k.bin,256,30475.47,126.72MB,8375,8436,9051,10371,11772,44344,0,0,-,-,0
direct,-,/64k.bin,64,26945.66,1.65GB,2964,2297,2745,31239,44947,55602,0,0,-,-,0
direct,-,/64k.bin,256,27855.04,1.71GB,9280,9152,10004,21592,51169,70998,0,0,-,-,0
direct,-,/_churn,64,43085.10,7.60MB,1045,939,1474,3691,27097,38206,0,0,-,-,0
sfl,1,/,16,0.00,0.00B,0,0,0,0,0,0,0,0,100,7.0,1
sfl,1,/,16,0.00,0.00B,0,0,0,0,0,0,0,0,100,6.7,1
sfl,1,/,64,46.21,8.57KB,5197,1946,10478,51643,57118,57118,0,0,100,10.9,1
sfl,1,/,64,0.00,0.00B,0,0,0,0,0,0,0,0,100,10.4,1
sfl,1,/,256,0.00,0.00B,0,0,0,0,0,0,0,0,100,22.8,1
sfl,1,/,256,785.41,145.73KB,55096,42177,122441,224670,293119,390831,0,0,100,25.2,1
sfl,1,/,1024,0.00,0.00B,0,0,0,0,0,0,0,0,100,28.9,1
sfl,1,/,1024,1537.10,285.20KB,299627,205901,701053,1344203,1801062,1981136,38,0,100,50.4,1
sfl,1,/4k.bin,64,774.96,3.22MB,13195,8020,11215,120201,227449,255718,0,0,100,15.1,1
sfl,1,/4k.bin,256,0.00,0.00B,0,0,0,0,0,0,0,0,100,8.9,1
sfl,1,/64k.bin,64,769.29,48.28MB,84748,95370,130167,214976,285943,317230,0,0,100,31.6,0
sfl,1,/64k.bin,256,134.02,8.41MB,281024,191424,625259,1566112,1962766,1986837,20,0,100,62.5,1
sfl,1,/_churn,64,1514.36,273.59KB,15173,14396,19203,26093,35384,52107,1,0,99,21.3,1
sfl,2,/,16,0.00,0.00B,0,0,0,0,0,0,0,0,200,7.8,1
sfl,2,/,16,0.00,0.00B,0,0,0,0,0,0,0,0,200,7.0,1
sfl,2,/,64,0.00,0.00B,0,0,0,0,0,0,0,0,200,9.6,1
sfl,2,/,64,2976.79,552.34KB,7065,2448,22004,61037,91699,130333,4,2,200,14.7,1
sfl,2,/,256,0.00,0.00B,0,0,0,0,0,0,0,0,200,12.4,1
sfl,2,/,256,0.00,0.00B,0,0,0,0,0,0,0,0,200,15.8,1
sfl,2,/,1024,0.00,0.00B,0,0,0,0,0,0,0,0,200,32.6,1
sfl,2,/,1024,0.00,0.00B,0,0,0,0,0,0,0,0,200,18.1,1
sfl,2,/4k.bin,64,0.00,0.00B,0,0,0,0,0,0,0,0,200,6.8,1
sfl,2,/4k.bin,256,0.00,0.00B,0,0,0,0,0,0,0,0,200,15.9,1
sfl,2,/64k.bin,64,0.00,0.00B,0,0,0,0,0,0,0,0,200,5.8,1
sfl,2,/64k.bin,256,0.00,0.00B,0,0,0,0,0,0,0,0,200,7.5,1
sfl,2,/_churn,64,0.00,0.00B,0,0,0,0,0,0,0,0,200,5.9,1
sflfix,1,/,16,9016.76,1.63MB,2378,1384,5520,11690,20576,40803,0,0,99,12.2,0
sflfix,1,/,16,9409.40,1.70MB,2280,1266,5370,11012,15778,24708,0,0,100,12.4,0
